timestamp,date_time,is_battery,current,voltage,battery_temperature,soc,is_heart_rate,hr,hr_conf,is_blood_oxygen,spo2,spo2_conf,is_ppg,green,red,infra_red,is_pressure,pressure,pressure_in_pa,is_skin_temperature,skin_temperature,is_ntc_temperature,ntc_temperature,is_skin_contact,skin_contact,is_accelerometer,acc_x,acc_y,acc_z,is_gyroscope,gyr_x,gyr_y,gyr_z,is_accelerometer_bosch,bosch_acc_x,bosch_acc_y,bosch_acc_z,is_gyroscope_bosch,bosch_gyr_x,bosch_gyr_y,bosch_gyr_z,is_sequence_number,seqno
1769081545246,1769081545246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19955
1769081545264,1769081545264,0,0,0,0,0,1,71,50,1,97,99,1,351194,12937,18877,0,0,0,0,0,0,0,0,0,1,-191,128,-973,0,0,0,0,1,-561,-592,4015,0,0,0,0,0,0
1769081545270,1769081545270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19956
1769081545284,1769081545284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0
1769081545287,1769081545287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19957
1769081545304,1769081545304,0,0,0,0,0,1,71,50,1,97,99,1,351230,12936,18877,0,0,0,0,0,0,0,0,0,1,-185,130,-974,0,0,0,0,1,-561,-619,4001,0,0,0,0,0,0
1769081545306,1769081545306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19958
1769081545324,1769081545324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,0,-5,0,0
1769081545329,1769081545329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19959
1769081545344,1769081545344,0,0,0,0,0,1,71,50,1,97,99,1,351288,12935,18879,0,0,0,0,0,0,0,0,0,1,-181,126,-970,0,0,0,0,1,-551,-589,4019,0,0,0,0,0,0
1769081545353,1769081545353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19960
1769081545364,1769081545364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,-8,0,0,0
1769081545382,1769081545382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19961
1769081545384,1769081545384,0,0,0,0,0,1,71,50,1,97,99,1,351354,12935,18875,0,0,0,0,0,0,0,0,0,1,-172,123,-976,0,0,0,0,1,-537,-606,4008,0,0,0,0,0,0
1769081545397,1769081545397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19962
